Srno,TranslatedRecipeName,Cuisine,Course,Diet,Average_Resell_Price
10276,Kumbakonam Kadappa Recipe - South Indian Style Lentil and Potato Stew,South Indian Recipes,Lunch,Vegetarian,70
10277,Spicy Arrabbiata Pasta Recipe With Sun Dried Tomatoes,Italian Recipes,Dinner,Vegetarian,150
10280,Zarda Pulav Recipe (Rice Flavoured With Nuts And Saffron),North Indian Recipes,Dessert,Vegetarian,50
10287,Potala Rasa Recipe (Oriya Style Parval Sabzi),Oriya Recipes,Lunch,Vegetarian,70
10289,Poha Buttermilk Idli Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
10291,Murungai Keerai Puttu - Drumstick Leaves Puttu Recipe,Kerala Recipes,South Indian Breakfast,Vegetarian,40
10295,Spicy Marinara Sauce Recipe,Italian Recipes,Snack,Vegetarian,30
10296, Homemade Crisp Ghee Roast Dosa (Recipe In Hindi),South Indian Recipes,South Indian Breakfast,Vegetarian,40
10301,Besan Halwa Recipe,North Indian Recipes,Dessert,Vegetarian,50
10302,Chatpata Baby Potato Recipe,North Indian Recipes,Lunch,Vegetarian,70
10303,Egg Salad Recipe With Sun Dried Tomatoes And Scallions,Continental,Dinner,Eggetarian,172
10307,Crispy Paneer Pakora Recipe With Garlic Chutney,Indian,Snack,Vegetarian,30
10309, Potato And Pointed Gourd Sabzi (Recipe In Hindi),Bengali Recipes,Lunch,Vegetarian,70
10318,Biuli Dal Er Boda Recipe - Bengali Style Urad Dal Vada,Bengali Recipes,Snack,Vegetarian,30
10322,Kerala Style Whole Wheat Parotta Recipe,Kerala Recipes,Lunch,Vegetarian,70
10324,Hariyali Pav Bhaji Recipe,Punjabi,Snack,Vegetarian,30
10327,Hunan stir fried Chinese Leaf cabbage with Tofu & Chilies Recipe,Hunan,Side Dish,Vegetarian,20
10330, Tomato Shorba Recipe,Middle Eastern,Appetizer,Vegetarian,50
10343,Masaura And Potato Tarkari Recipe,Indian,Lunch,Vegetarian,70
10344,Caramelized Ripe Plantains Without Added Sugar Recipe (Caramelized Nendran),South Indian Recipes,Snack,Vegetarian,30
10355,Classic South Indian Rava Idli Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
10356,Oven Baked Rice Casserole Recipe,Continental,Main Course,Vegetarian,100
10357, Thabdi Peda (Recipe In Hindi),Gujarati Recipes?,Dessert,Vegetarian,50
10359,Bengali Style Pomfret Shorshe Recipe - Pomfret In Mustard Gravy,Bengali Recipes,Lunch,High Protein Non Vegetarian,94
10362,Mint And Pomegranate Raita Recipe,Indian,Side Dish,Vegetarian,20
10365,Semiya Kesari Recipe,North Indian Recipes,Dessert,Vegetarian,50
10372,Soya Chunks And Beetroot Biryani Recipe,Indian,Dinner,Vegetarian,150
10386,Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,Tamil Nadu,Lunch,Diabetic Friendly,80
10388, Kerala Style Vegetable Stew (Recipe In Hindi),Kerala Recipes,Lunch,Vegetarian,70
10391,Thai Chicken Green Curry With Vegetables Recipe,Thai,Lunch,Non Vegeterian,87
10393,Mushroom Cutlet Vegetarian Sizzler Recipe,Continental,Main Course,Vegetarian,100
10394,Poached Eggs Recipe With Arugula Fig Walnut Salad,Continental,World Breakfast,Eggetarian,46
10396,Paneer Masala Dosa Recipe-Paneer Bhurji Dosa,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,44
10400,Khatta Meetha Tamatar Sabzi Recipe - A Chutney Style Dry Sabzi,North Indian Recipes,Lunch,Vegetarian,70
10401,Haryanvi Saag Gosht Recipe,Haryana,Dinner,High Protein Non Vegetarian,202
10403,Acorn Squash Sambal Recipe,Asian,Side Dish,Non Vegeterian,25
10404, Malvani Fish Curry Recipe,Malvani,Lunch,High Protein Non Vegetarian,94
10405, Knol Khol in Yogurt (Recipe In Hindi),Kashmiri,Lunch,Vegetarian,70
10411,Chicken Dimsums Recipe - Steamed Chicken Dumplings,Asian,Appetizer,High Protein Vegetarian,55
10413,Aloo Paneer Kebab Recipe,Indian,Appetizer,High Protein Vegetarian,55
10419,Orange Apple Arugula Salad Recipe With Honey Roasted Almonds & Ginger Dressing,Continental,Appetizer,Vegetarian,50
10423,Thai Style Mango Chicken Coconut Curry Recipe,Thai,Main Course,Non Vegeterian,125
10430, Coriander Leaves Dry Curry (Recipe In Hindi),Indian,Lunch,Vegetarian,70
10438,Maltesers Butter Cookie Recipe,Continental,Snack,Vegetarian,30
10446,Pink Dragon Fruit Kesari Recipe (Sooji Halwa with Dragon fruit),South Indian Recipes,Dessert,Vegetarian,50
10447,Masoor Dal Kebabs Recipe,North Indian Recipes,Appetizer,High Protein Vegetarian,55
10450,Semiya Payasam With Coconut Milk Recipe,Tamil Nadu,Dessert,Vegetarian,50
10453,Pachai Mor Kuzhambu Recipe,South Indian Recipes,Side Dish,Diabetic Friendly,23
10454,"Pineapple, Onions and Cabbage Slaw with Honey Mustard Recipe",Continental,Appetizer,Vegetarian,50
10455, Carrot Lemon Rice Recipe,South Indian Recipes,Lunch,Vegetarian,70
10459,"Andhra Style Chilakada Dumpa Pulusu Recipe (Sweet Potato in Tangy, Sweet & Spicy Curry Recipe)",Andhra,Main Course,Diabetic Friendly,115
10464,Vegetable Ragi & Oats Uttapam Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
10466,Penne Pasta Recipe In Creamy Cauliflower Sauce,Italian Recipes,Dinner,Vegetarian,150
10473,Kadali Bhanda O Chingudi Tarkari Recipe (Odia Style Banana Blossom & Prawn Curry),Oriya Recipes,Side Dish,Non Vegeterian,25
10480,Delicious & Cheesy Spaghetti Sandwich Recipe,Continental,Main Course,Vegetarian,100
10489,Soya Methi Palak Ki Sabzi Recipe,North Indian Recipes,Main Course,High Protein Vegetarian,110
10498,Bharwa Karela Masala Recipe,Indian,Lunch,Vegetarian,70
10505,Chicken Masala Fry Recipe,Indian,Appetizer,Non Vegeterian,62
10510,Moong Dal Pani Recipe- Dal Soup For Babies 6 months & above,Indian,Lunch,High Protein Vegetarian,77
10511,Healthy Soya Sabudana Kebabs Recipe With Spicy Tomato Chutney,Indian,Appetizer,High Protein Vegetarian,55
10516,Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry,Mughlai,Lunch,Eggetarian,80
10523,Chettinad Inippu Seeyam Recipe,Chettinad,Dessert,Vegetarian,50
10524,Paneer Bhutuwa Recipe -Nepalese Paneer Curry,Nepalese,Lunch,High Protein Vegetarian,77
10531,Broccoli Oats Smoothie Bowl Recipe,Continental,World Breakfast,High Protein Vegetarian,44
10540,Gurellu Chutney Podi Recipe,North Karnataka,Side Dish,Vegetarian,20
10544,Tandoori Style Soya Chaap Curry Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
10546,Uttaranchal Style Garwhali Kafuli Recipe (Spinach Curry),North Indian Recipes,Side Dish,Diabetic Friendly,23
10547,Authentic Nimki Recipe - Evening Tea Time Snack,North Indian Recipes,Snack,Vegetarian,30
10557,Mushroom Pasanda Recipe (Butter Fried Mushrooms in Tomato Almonds and Cream Gravy),Mughlai,Dinner,Vegetarian,150
10563, Boti Masala Chaat Recipe,South Indian Recipes,Appetizer,Vegetarian,50
10569,Chatpata Potato Canapes Recipe,Indian,Appetizer,Vegetarian,50
10571,Eggless Red Velvet Beetroot Muffins Recipe,Continental,Dessert,Vegetarian,50
10576,Achari Gosht Recipe,North Indian Recipes,Lunch,Non Vegeterian,87
10580,Dry Fruit & Nut Modak Recipe,Indian,Dessert,Vegetarian,50
10582,Achari Aloo Gobi Recipe - Spicy Indian Cauliflower Stir Fry,North Indian Recipes,Lunch,Vegetarian,70
10588,Kadle Bele Chutney Pudi Recipe,Karnataka,Side Dish,Vegetarian,20
10594, Kerala Vendakkai Thoran Recipe,Kerala Recipes,Dinner,Vegetarian,150
10599,Dhania Murgh Makhani Recipe,North Indian Recipes,One Pot Dish,Non Vegeterian,68
10618,Sweet and Spicy Tomato Chutney Recipe,Gujarati Recipes?,Side Dish,Vegetarian,20
10619,Watermelon & Feta Skewers Recipe,Italian Recipes,Appetizer,High Protein Vegetarian,55
10627,Green Moong Sprout Salad Recipe With Vegetables- No Onion No Garlic,Indian,Side Dish,High Protein Vegetarian,22
10638, Vali Bhajji Ambat (Recipe In Hindi),Malabar,Dinner,High Protein Vegetarian,165
10643,Coorgi Style Chicken Curry Recipe,Coorg,Lunch,Non Vegeterian,87
10644,Vegan Carrot Halwa Ice Cream Recipe,Indian,Dessert,Vegan,57
10645,Mexican Style Frijoles Refritos Recipe-Refried Beans,Mexican,Side Dish,Vegetarian,20
10646,Bengali Bhetki Macher Paturi Recipe (Barramundi Fish Wrapped in Banana Leaf),Bengali Recipes,Side Dish,High Protein Non Vegetarian,27
10652,Mangalorean Style Kayi Vade Recipe (Coconut and Rice Flour Fried Bread Recipe),Mangalorean,South Indian Breakfast,Vegetarian,40
10656,Spiced Whole Wheat Cookie Recipe (Atta Biscuit),Continental,Snack,Vegetarian,30
10657,Til Ke Laddu Recipe (Sesame Seeds Laddu Recipe),North Indian Recipes,Snack,Vegetarian,30
10661,Baby Corn Butter Masala Recipe,North Indian Recipes,Lunch,Vegetarian,70
10663,Avarekaalu Obbatu Recipe ( Sweet Paratha stuffed with Field Beans Recipe),Karnataka,Dessert,Vegetarian,50
10664,Grilled Paneer Mint Salad Recipe With Pickled Onions & Pomegranates,Continental,Appetizer,High Protein Vegetarian,55
10666,Traditional Panakam Recipe,Indian,Appetizer,Vegetarian,50
10671,Colombi Rice Recipe - Maharashtrian Prawn Rice Recipe,Maharashtrian Recipes,Lunch,Non Vegeterian,87
10673,Cottage Cheese And Peas Oatmeal Pancakes Recipe,Indian,Indian Breakfast,Vegetarian,25
10679,Kara Kadubu Recipe (Malanad Style Steamed Spiced Rice Dumplings),Karnataka,South Indian Breakfast,Vegetarian,40
10680,Karnataka Style Baledindina Kosambari Recipe (Banana Stem Salad),Karnataka,Appetizer,Diabetic Friendly,57
10682,Blueberry Fool Recipe - Quick Dessert with Whipped Cream & Fresh Berries,Continental,Dessert,Vegetarian,50
10692, Lemongrass Coconut Rice (Recipe In Hindi),Indian,Lunch,Vegetarian,70
10697,Sweet Spicy & Tangy Vegetarian Thai Green Curry Recipe With Tamarind,Thai,Dinner,Vegetarian,150
10698,Uttar Pradesh Style Shir Sewain Recipe,Uttar Pradesh,Dessert,Vegetarian,50
10702,Instant Spice Oat Pit Paniaram Recipe,South Indian Recipes,South Indian Breakfast,Diabetic Friendly,46
10704,Mexican Style Broccoli Bell Pepper Cheese Quesadilla Recipe,Mexican,Lunch,Vegetarian,70
10706,Bihari Style Baingan Ka Chokha Recipe (Smoked & Spiced Eggplant),Bihari,Lunch,Vegetarian,70
10709,Konkani Style Batata Song Recipe - Dry Red Chili Potatoes Fry,Konkan,Side Dish,Vegetarian,20
10713,Eggless Whole Wheat Banana Muffins Recipe,Continental,World Breakfast,Vegetarian,40
10715,Alasande Kalu Saaru Recipe (Malnad Style Black Eyed Beans Curry),Karnataka,Side Dish,High Protein Vegetarian,22
10724,Ridge Gourd Chutney Recipe (Beerakaya Pachadi),South Indian Recipes,Side Dish,Vegetarian,20
10725,Maharashtrian Gopalkala Recipe (Curd Poha With Fruits),Maharashtrian Recipes,Indian Breakfast,Vegetarian,25
10729, Gujarati Kadhi Recipe,Gujarati Recipes?,Main Course,Vegetarian,100
10730,Vegetable Jowar Upma Recipe,South Indian Recipes,South Indian Breakfast,Diabetic Friendly,46
10735,Kadai Vegetable Sabzi Recipe (Mixed Vegetable Saute with Spices),North Indian Recipes,Side Dish,Vegetarian,20
10738,Gawar pods fenugreek vegetable recipe - cluster beans fenugreek vegetable,North Indian Recipes,Lunch,Diabetic Friendly,80
10750,Lemon And Rosemary Shortbread Cookies Recipe,Continental,Snack,Vegetarian,30
10755,Lemon Thyme Rasam Recipe,South Indian Recipes,Side Dish,Vegetarian,20
10756,Barnyard Millet Idli And Dosa Recipe,South Indian Recipes,Indian Breakfast,Diabetic Friendly,28
10757,One Pot Aloo Gobi Sabzi Recipe Using Preethi Electric Pressure Cooker,North Indian Recipes,Main Course,Diabetic Friendly,115
10758, Ajwaini Tamatar Bhindi (Recipe In Hindi),Indian,Lunch,No Onion No Garlic (Sattvic),70
10762, Agathi Keerai (Recipe In Hindi),South Indian Recipes,Dinner,Vegetarian,150
10764,Nippattu Masala Chaat Recipe- South Indian Style Chaat,South Indian Recipes,Appetizer,Vegetarian,50
10770, Tamil Nadu Style Potato Masiyal (Recipe In Hindi),Tamil Nadu,Lunch,Vegetarian,70
10774,Mango Ladoo Recipe,Indian,Dessert,Vegetarian,50
10781, Kothamalli Thovayal Recipe,South Indian Recipes,Side Dish,Vegetarian,20
10784,Oats Peanut Butter & Chocolate Chip Trail Mix Recipe,Continental,World Breakfast,Vegetarian,40
10793,Dalia Pakora Recipe - Broken Wheat Pakora,Indian,Snack,Vegetarian,30
10794, Chicken Cooked In Yogurt (Recipe In Hindi),Kashmiri,Lunch,Non Vegeterian,87
10798,Whole Wheat Chocolate Cinnamon Cupcakes Recipe,Continental,Dessert,Vegetarian,50
10802,Matta Rice Peas Pulao Recipe,Indian,Lunch,Vegetarian,70
10803, Hariyali Matar Recipe,North Indian Recipes,Side Dish,High Protein Vegetarian,22
10805,Paneer Bhurji Gravy Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
10810,Khubani Ka Meetha Recipe (A Rich Hyderabadi Nawabi Dessert),Hyderabadi,Dessert,Vegetarian,50
10811,Homemade Fresh Orange Juice Recipe,Continental,Snack,Vegetarian,30
10817,Butter Chicken With Tandoori Mayo Recipe,North Indian Recipes,Lunch,Vegetarian,70
10822,South Indian Style Vazhaithandu Poriyal Recipe - Banana Stem Curry with No Onion and No Garlic,South Indian Recipes,Lunch,Diabetic Friendly,80
10826,Corn Korma Recipe,Indian,Dinner,Vegetarian,150
10838,Peach Cobbler Scones Recipe,Continental,Snack,Vegetarian,30
10843,Spicy and Tangy Mixed Vegetable Poha Recipe With Peanuts,North Indian Recipes,North Indian Breakfast,Vegetarian,35
10850,Mangalorean Style Masala Pundi Recipe - Steamed rice dumpling in Onion Gravy,Mangalorean,South Indian Breakfast,Vegetarian,40
10866,Udupi Style Heerekai Bajji Recipe-Ridge Gourd Fritters,Karnataka,Snack,Vegetarian,30
10868,Puffed Rice Upma Recipe - Murmura Upma,South Indian Recipes,South Indian Breakfast,Vegetarian,40
10873, Mango Milkshake Recipe,Continental,Snack,Vegetarian,30
10880,Andhra Style Kandagadda Vepudu Recipe - Yam Stir Fry Recipe,Andhra,Appetizer,Vegetarian,50
10887,"Whole Wheat, Oatmeal and Amaranth Fruitcake Cookie Recipe",Continental,Snack,Vegetarian,30
10890,"Bread, Paneer and Potato Vada Recipe - Bread, Paneer & Potato Instant Vada Recipe",South Indian Recipes,Snack,Vegetarian,30
10892,Roasted Bell Pepper Quinoa Recipe,Continental,Main Course,High Protein Vegetarian,110
10893, Horse Gram Chutney Podi Recipe,South Indian Recipes,Side Dish,Vegetarian,20
10895,Homemade Pizza Sauce Recipe,Italian Recipes,Dinner,Vegetarian,150
10905,Dry Fruit Burfi Recipe With Gulkand,North Indian Recipes,Snack,Vegetarian,30
10910,Kerala Style Prawns & Shrimp Biryani  -Chemmeen Biryani Recipe,Kerala Recipes,Lunch,Non Vegeterian,87
10913,Andhra Style Pindi Miriyam Recipe,Andhra,Side Dish,Vegetarian,20
10915, Ragi Badam Soup Recipe,Indian,Dinner,Diabetic Friendly,172
10918,Punjabi Style Creamy Cauliflower And Peas Curry (Recipe in Hindi),North Indian Recipes,Dinner,Vegetarian,150
10919,Keema Kaleji Recipe- Mutton Liver Mince,North Indian Recipes,Dinner,Non Vegeterian,187
10922,Dulce De Leche Brownie Recipe,Continental,Dessert,Vegetarian,50
10924,Spinach Corn Sabzi Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
10938, Lauki Tamatar Ki Sabzi (Recipe In Hindi),Gujarati Recipes?,Dinner,Diabetic Friendly,172
10942,Vendakkai Vengayam Sambar Recipe (Okra in Tangy Lentil Curry),South Indian Recipes,Lunch,High Protein Vegetarian,77
10945,Baked Bitter Gourd Bhajji Recipe - Karela Fritters,Indian,Snack,Diabetic Friendly,34
10946,Strawberry Salsa Recipe,Mexican,Snack,Vegetarian,30
10957,Vegan Soya Aloo Curry Recipe,Indian,Dinner,High Protein Vegetarian,165
10958,Sweet Chili Lime Grilled Chicken Recipe,Continental,Main Course,Non Vegeterian,125
10963, Foxtail Millet Paruppu Adai With Keerai Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
10965,WeetBix Halwa Recipe,Indian,Dessert,Vegetarian,50
10966,Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,Tamil Nadu,Side Dish,Vegetarian,20
10968, Coconut Chutney With Coconut Water (Recipe In Hindi),South Indian Recipes,Side Dish,Vegetarian,20
10973,Mysore Style Avarekalu Rasam Recipe,Karnataka,Lunch,Vegetarian,70
10975,Whole Wheat Buttermilk Banana Pancakes Recipes,Continental,World Breakfast,Eggetarian,46
10987,Foxtail Millet Kheer Recipe (Millet Pudding With Saffron & Nuts),Tamil Nadu,Dessert,Vegetarian,50
10988,Grilled Stuffed Mushrooms Recipe With Onion Parmesan & Herbs,Continental,Appetizer,Vegetarian,50
10989,Snake Gourd Kootu Recipe (Pudalangai Kootu),Tamil Nadu,Side Dish,Vegetarian,20
10992,Achari Chicken Tikka Wrap Recipe,Indian,Snack,High Protein Non Vegetarian,40
10994,Mooli Aur Kaccha Kela Kofta Recipe (Grated Radish And Raw Banana Dumplings In Gravy),Indian,Side Dish,Vegetarian,20
10998,Chettinad Idiyappam Recipe,Chettinad,South Indian Breakfast,Vegan,46
11003,Mixed Vegetables Ajethna Recipe - Mangalorean Style Mixed Vegetables Sabzi,Mangalorean,Side Dish,Vegetarian,20
11005,Green Moong Dal Kootu with Raw Banana Peel Recipe,South Indian Recipes,Lunch,Vegetarian,70
11006,Broccoli Paneer And Peanut Masala Recipe,Indian,Dinner,High Protein Vegetarian,165
11012,Carrot Cake Recipe for Healthy Heart,Continental,Snack,Eggetarian,34
11013,Tofu and Shrimp Salad Recipe With Balsamic Dressing,Asian,Dinner,High Protein Non Vegetarian,202
11015,Chaat Masala Recipe - Chaat Masala Recipe,Indian,Vegetarian,Vegetarian,45
11017,Pineapple Crostini With Honey And Cream Cheese Recipe,Italian Recipes,Appetizer,Vegetarian,50
11019,Sago Yogurt Parfait Recipe (Creamy Tapioca Pearls With Assorted Fruits),Continental,World Breakfast,Vegetarian,40
11020,Andhra Style Nalla Karam Podi Recipe,Andhra,Side Dish,Vegetarian,20
11022,Banana Apple Porridge Recipe - 6 Months Above For Babies & Toddlers,Continental,World Breakfast,Vegetarian,40
11025,French Onion Chicken Recipe,French,Lunch,Non Vegeterian,87
11026,Pumpkin Cupcakes Recipe With Finger Millet And Flax Seed,Continental,Dessert,Eggetarian,57
11028,French Style Red Sorrel Two Bean Soup Recipe,French,Dinner,High Protein Vegetarian,165
11031,Southekayi Palya Recipe - Mangalore Cucumber Palya / Sabzi Recipe,Mangalorean,Lunch,Vegetarian,70
11032,Aloo Paneer Kebab Recipe - Potato Paneer Kebab Recipe,Indian,Appetizer,High Protein Vegetarian,55
11034,Eggless Nutella Swirl Cupcakes Recipe,Continental,Dessert,Vegetarian,50
11036,Gajar Methi Sabzi Recipe (Carrot Fenugreek Leaves Stir Fry),Indian,Lunch,Vegetarian,70
11039, Beetroot & Tomato Chutney (Recipe In Hindi),Indian,Side Dish,Vegetarian,20
11041, Tomato & Beetroot Soup Recipe,Continental,Appetizer,Vegetarian,50
11043, Drumstick Masala Sabzi,Gujarati Recipes?,Lunch,Vegetarian,70
11048,Homemade Alfredo Pasta Sauce Recipe-Creamy White Sauce For Pasta,Italian Recipes,Vegetarian,Vegetarian,45
11050,Boondi And Spring Onion Greens Sabzi Recipe,North Indian Recipes,Lunch,Vegetarian,70
11052,Corn Methi Malai Gravy Recipe,Punjabi,Dinner,Vegetarian,150
11063,Creamy Indian Butter Fish Recipe - Creamy Pabda Fish,Bengali Recipes,Side Dish,High Protein Non Vegetarian,27
11067,Cauldron Baby Corn Cheese Recipe,North Indian Recipes,Lunch,Vegetarian,70
11071,Andhra Style Kandi Pachadi Recipe (Masoor Dal Chutney Recipe),Andhra,South Indian Breakfast,Vegetarian,40
11073,Bharwa Bhindi And Pyaaz Ki Sabzi Recipe,Rajasthani,Lunch,Vegetarian,70
11075,Andhra Style Vankaya Kothimeera Karam Recipe - Brinjal Cooked With Spicy Coriander Mix Recipe,Andhra,Lunch,Vegetarian,70
11084,Karjikai (Karnataka Style Deep Fried Sweet Pastry Recipe),Karnataka,Snack,Vegetarian,30
11087,Pakistani Chickpeas Pulao Recipe With Sweet Hot Date Onion Chutney,Pakistani,Lunch,Vegetarian,70
11091,Beetroot Pancake Recipe,Continental,World Breakfast,Vegetarian,40
11098,Thouthe Kodel Recipe (Mangalore Southekayi Curry),Mangalorean,Side Dish,Vegetarian,20
11099, Healthy Vegetable Paratha Rolls Recipe,North Indian Recipes,Snack,Vegetarian,30
11100,Peerkangai Thogayal Recipe (Ridge Gourd Chutney),South Indian Recipes,Side Dish,Vegetarian,20
11106,Karnatak Style Hurigadale Tambittu Recipe - Gram Flour Ladoo,Karnataka,Dessert,Vegetarian,50
11110,Cheesy Mushroom & Corn Open Toast,Continental,Side Dish,High Protein Vegetarian,22
11111,Paneer Broccoli Soya Ghee Roast Pockets Recipe,Fusion,Snack,High Protein Vegetarian,33
11112,Chole Pindi Recipe,North Indian Recipes,Lunch,Vegetarian,70
11118, Vegan Soya Aloo Curry (Recipe In Hindi),Indian,Dinner,High Protein Vegetarian,165
11122,Reshmi Kofta Recipe in Rich Cashew Gravy,North Indian Recipes,Dinner,Vegetarian,150
11123,Kerala Style Vettu Cake Recipe (Eggless Wholewheat Tea Shop Cake),Kerala Recipes,Snack,Vegetarian,30
11128,Andhra Style Karivepaku Pachadi Recipe - Andhra Style Karivepaku Pachadi Recipe,Andhra,South Indian Breakfast,Diabetic Friendly,46
11130,Lentil & Coconut Milk Soup Recipe,Continental,Dinner,Vegetarian,150
11142,Oriya Badi Chura Recipe | Sundried Lentil Dumpling Crumble,Oriya Recipes,Snack,Diabetic Friendly,34
11146,Poshto Phoolkopi Recipe (Cauliflower & Potato In Poppy Seeds Gravy),Bengali Recipes,Lunch,Vegetarian,70
11147,Makhana Ki Sabzi (Recipe in Hindi),North Indian Recipes,Lunch,Vegetarian,70
11153, Thandai Kulfi Recipe,Indian,Dessert,Vegetarian,50
11154,Sarson Chole Ka Saag Recipe - Kabuli Chana In Mustard Leaves Gravy,North Indian Recipes,Main Course,High Protein Vegetarian,110
11157,Bell Pepper & Parsley Rice Recipe - Bell Pepper & Parsley Rice Recipe,Continental,Main Course,Vegetarian,100
11164,Taiwanese Style Gua Bao Recipe - Steamed Bao Buns With Sweet And Spicy Mushroom & Tofu Recipe,Appetizer,Snack,High Protein Vegetarian,33
11166,Cauliflower Paneer Kofta Curry Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
11168,Green Apple Rasam Recipe,South Indian Recipes,Dinner,High Protein Vegetarian,165
11171,Kerala Style Varutharacha Sambar Recipe - Tangy Coconut Sambar Recipe,Kerala Recipes,Lunch,High Protein Vegetarian,77
11172,Tomato Dosa Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
11173,No Onion No Garlic Kadamba Sambar Rice - Temple Ritual Recipe,South Indian Recipes,Lunch,Vegetarian,70
11178,"Cucumber, Red Radish, Tomatoes & Onion Salad Recipe",Indian,Appetizer,Diabetic Friendly,57
11179,Homemade Baked Donuts Recipe,Continental,Snack,Diabetic Friendly,34
11183,Suran Fodi Recipe - Goan Semolina Crusted Yam,Goan Recipes,Side Dish,Vegetarian,20
11186,Turai Moong Dal Recipe - Turia Mag Ni Dal,Gujarati Recipes?,Side Dish,No Onion No Garlic (Sattvic),20
11195, Pudina Mavinakayi Chutney Recipe,Karnataka,Side Dish,Vegetarian,20
11204,"Homemade Quick Puff Pastry Sheet Recipe | Perfect For Puffs, Tarts & Pies.",Continental,Vegetarian,Diabetic Friendly,51
11206,Sindhi Karela Bhaji Recipe - Sindhi Style Bitter Gourd Sabzi,Sindhi,Lunch,Diabetic Friendly,80
11212,Osmania Biscuits Recipe,Andhra,Snack,Vegetarian,30
11214,Udupi Style Bendekayi Palya Recipe - Ladies Finger With Coconut,Udupi,Side Dish,Vegetarian,20
11222,Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,Kerala Recipes,South Indian Breakfast,High Protein Vegetarian,44
11223,Mac and Cheese On Crostini Recipe,Italian Recipes,Appetizer,Vegetarian,50
11226,Spicy Avocado Scrambled Eggs Recipe,Continental,World Breakfast,Eggetarian,46
11235,Mango Smoothie Bowl Recipe,Continental,World Breakfast,Sugar Free Diet,46
11237,Arbi Dahi Wali Sabzi (Recipe in Hindi),North Indian Recipes,Lunch,Vegetarian,70
11240,Raw Mango Masoor Dal Recipe - Raw Mango Masoor Dal Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
11243,Cold Coffee Recipe,Continental,Snack,Vegetarian,30
11244,Baked Samosa Pinwheels Recipe,Indian,Snack,Vegetarian,30
11245, Aloo Aur Mooli Ke Patto Ki Sabzi (Recipe In Hindi),Indian,Lunch,Vegetarian,70
11248,Gulkand Seviyan Kheer Recipe,North Indian Recipes,Dessert,Vegetarian,50
11252,Napa Cabbage Coleslaw with Greek Yogurt Recipe,Continental,Appetizer,Vegetarian,50
11254,One-Pot Stove Top Lasagna Recipe,Italian Recipes,Main Course,Vegetarian,100
11256,Kashmiri Style Rajma Gogji Recipe - Kidney Beans and Turnip Curry,Kashmiri,Lunch,Vegetarian,70
11261,Simple & Luscious Pista Ice Cream Recipe,Continental,Dessert,Vegetarian,50
11264,Scrambled Eggs With Ridge Gourd Sabzi Recipe,Indian,Indian Breakfast,Eggetarian,28
11269,Karnataka Style Aralu Sandige Recipe - Puffed Paddy Fryums,Karnataka,Snack,Vegetarian,30
11270,Goan Sweet Churmo Recipe,Goan Recipes,Snack,Vegetarian,30
11283,Thengai Poornam Kozhukattai / Ukadiche Modak Recipe With Rice Flour,Maharashtrian Recipes,Snack,Vegetarian,30
11294,Baked Vermicelli Malpua Recipe,Indian,Dessert,Vegetarian,50
11300,Heart Shaped Cake Pops Recipe,Continental,Dessert,Eggetarian,57
11302,Beet Baba Ganoush Dip Recipe,Mediterranean,Snack,Vegetarian,30
11318,Indian Misal Bunny Chow Recipe,Maharashtrian Recipes,Snack,High Protein Vegetarian,33
11322,Varan Bhat Recipe - Maharashtrino Dal Recipe,Goan Recipes,Lunch,Vegetarian,70
11324,Kabuli Chana Rasam Recipe - Kabuli Chana Rasam,South Indian Recipes,Lunch,High Protein Vegetarian,77
11325,Besan vegetable recipe,Rajasthani,Lunch,Diabetic Friendly,80
11342,Himachali Style Pahari Khatta Recipe (Boondi In Tangy Yogurt Curry),Himachal,Lunch,Vegetarian,70
11353,Soy Chunks Manchurian Recipe In Sweet & Spicy Chinese Sauce,Indo Chinese,Dinner,Vegetarian,150
11358,Sukhe Methi Chole Recipe,Indian,Main Course,Vegetarian,100
11365,Chicken Jalfrezi Recipe - Chicken And Bell Peppers In Tomato Gravy,North Indian Recipes,One Pot Dish,High Protein Non Vegetarian,74
11367,Stir Fried Honey Parsnip Recipe With Herbs,Continental,Appetizer,Vegetarian,50
11370,Eggless Jam-Filled Thumbprint Cookies Recipe,Continental,Snack,Vegetarian,30
11371,Drumstick Fennel Spinach Sambar Recipe-Drumstick & Greens Sambar,South Indian Recipes,Lunch,Diabetic Friendly,80
